opportunity_id,state,district,block,organization,sector,job_role,opportunity_type,latitude,longitude,minimum_education,nsqf_level,required_skills,salary_min,salary_max,openings,training_available,training_provider,contact,source,last_updated
OP001,Tamil Nadu,Theni,Theni,Theni Auto Care Services,Automotive,Automotive Service Technician,Job,10.0104,77.4768,10th,4,"automobile; mechanics; vehicle repair; tools",16000,25000,8,false,"",HR Manager - Theni Auto Care,demo,2026-09-11
OP002,Tamil Nadu,Theni,Periyakulam,Periyakulam Motors,Automotive,Automotive Service Technician,Job,10.1227,77.5480,10th,4,"automobile; mechanics; engine diagnostics; electrical",15000,24000,5,true,Govt ITI Theni,Admin Desk,demo,2026-09-11
OP003,Tamil Nadu,Theni,Theni Allinagaram,Theni Apparel & Tailoring Center,Apparel,Sewing Machine Operator,Training,10.0250,77.4850,8th,4,"tailoring; sewing; hand stitching; garment finishing; pattern cutting",14000,20000,30,true,District Skill Development Office Theni,Principal ITI,demo,2026-09-11
OP004,Tamil Nadu,Theni,Periyakulam,Theni Tailoring & Boutique Collective,Apparel,Self Employed Tailor,Self-employment support,10.0380,77.5120,8th,4,"tailoring; garment design; boutique setup; uniform stitching",15000,22000,20,true,TNSRLM Theni Nodal Hub,TNSRLM Officer,demo,2026-09-11
OP005,Tamil Nadu,Theni,Bodinayakanur,Cardamom City Garments Unit,Apparel,Apparel Quality Checker,Job,10.0650,77.5450,10th,3,"tailoring; industrial sewing; overlock machine; quality inspection",13500,21000,15,false,"",Plant Supervisor,demo,2026-09-11
OP006,Tamil Nadu,Theni,Chinnamanur,Mullai Agro Processing Hub,Food Processing,Fruits & Vegetables Processing Technician,Job,9.8395,77.3824,8th,3,"cooking; food processing; packaging; hygiene; post harvest",14000,21000,18,true,Theni Farmers Producer Org,FPO Coordinator,demo,2026-09-11
OP007,Tamil Nadu,Theni,Theni,TANGEDCO Sub-Division Power Wing,Power,Domestic Electrician & Solar PV Helper,Skill development centre,10.0180,77.4690,10th,4,"electrical; wiring; solar panel installation; meter reading",15000,23000,12,true,TANGEDCO Skill Cell,Assistant Engineer,demo,2026-09-11
OP008,Tamil Nadu,Theni,Andipatti,Aavin Dairy Cooperative Unit,Agriculture,Dairy Farmer / Milk Production,Self-employment support,9.9920,77.6250,8th,3,"agriculture; cattle care; milk testing; fodder cultivation",16000,24000,25,true,Aavin Dairy Cooperative Theni,Dairy Development Officer,demo,2026-09-11
OP009,Tamil Nadu,Madurai,Madurai South,Madurai TVS Mobility Workshop,Automotive,Automotive Service Technician,Job,9.9120,78.1050,10th,4,"automobile; engine repair; brake servicing; electrical",17000,27000,12,false,"",Service Head,demo,2026-09-11
OP010,Tamil Nadu,Madurai,Madurai North,Govt ITI Metal Fabrication Wing,Construction,Manual Metal Arc Welder,Training,9.9390,78.1380,8th,4,"welding; metal fabrication; arc welding; safety operations",16000,25000,25,true,Govt ITI Madurai,Admissions Desk,demo,2026-09-11
