record_id,education,age,state,district,current_occupation,experience_years,existing_skills,interest,career_goal,recommended_qualification,sector,nsqf_level,minimum_education,recommended_skills,skill_gaps,job_role,livelihood_type,match_score
1,8th,32,Andhra Pradesh,Vijayawada,Domestic Worker,0,"banking; customer service; teamwork",banking,Job,BFSI Customer Service Executive,BFSI,4,12th,"banking; finance; customer service; computer","finance; computer",Customer Service Executive,Job,85.5
2,Diploma,19,Rajasthan,Jaipur,Domestic Worker,4,"sewing; tailoring; customer service",sewing,Self-employment,Sewing Machine Operator,Apparel,3,8th,"tailoring; sewing; stitching; garment making","stitching; garment making",Sewing Machine Operator,Job/Self-employment,83.3
3,10th,35,Tamil Nadu,Theni,Driver,0,"mechanics; vehicle repair; problem solving",automobile,Self-employment,Automotive Service Technician,Automotive,4,10th,"automobile; mechanics; vehicle repair; tools","automobile; tools",Automotive Service Technician,Job,77.6
4,5th,42,Telangana,Warangal,Small Business Owner,0,"furniture; carpentry; woodwork; customer service",woodwork,Self-employment,Carpenter,Wood & Carpentry,3,8th,"carpentry; woodwork; furniture; tools",tools,Carpenter,Job/Self-employment,93.0
5,5th,42,Karnataka,Bengaluru Urban,Driver,1,"wiring; tools; electrical; repair; time management",electrical,Skill training,Assistant Electrician,Power,3,8th,"electrical; wiring; repair; tools",advanced practice,Assistant Electrician,Job,94.2
6,UG,33,Bihar,Patna,Office Assistant,0,"computer; typing; communication; customer service",office work,Skill training,Office Assistant,Office Administration & Facility Management,4,12th,"computer; office work; typing; communication",office work,Office Assistant,Job,90.4
7,10th,43,West Bengal,Kolkata,Daily Wage Worker,1,"hygiene; healthcare; first aid; patient care; time management",hygiene,Job,General Duty Assistant,Healthcare,3,10th,"healthcare; patient care; hygiene; first aid",advanced practice,General Duty Assistant,Job,99.0
8,8th,33,Maharashtra,Pune,Small Business Owner,4,"hygiene; food processing; packaging; cooking; teamwork",food processing,Self-employment,Food Processing Worker,Food Processing,3,8th,"cooking; food processing; packaging; hygiene",advanced practice,Food Processing Worker,Job/Self-employment,99.0
9,5th,21,Telangana,Hyderabad,Tailor,0,"woodwork; furniture; problem solving",furniture,Self-employment,Carpenter,Wood & Carpentry,3,8th,"carpentry; woodwork; furniture; tools","carpentry; tools",Carpenter,Job/Self-employment,84.5
10,5th,25,Tamil Nadu,Chennai,Driver,4,"logistics; packing; inventory; customer service",warehouse,Entrepreneurship,Warehouse Associate,Logistics,3,10th,"warehouse; inventory; packing; logistics",warehouse,Warehouse Associate,Job,86.3
