record_id,education,age,location,current_occupation,experience_years,existing_skills,interest,career_goal,recommended_qualification,sector,nsqf_level_demo,minimum_education_demo,recommended_skills,skill_gaps_demo,job_role_demo,livelihood_type_demo,match_score_demo
1,8th,32,Andhra Pradesh,Domestic Worker,0,banking; customer service; teamwork,banking,Job,BFSI Customer Service Executive,BFSI,4,12th,banking; finance; customer service; computer,finance; computer,Customer Service Executive,Job,85.5
2,Diploma,19,Rajasthan,Domestic Worker,4,sewing; tailoring; customer service,sewing,Self-employment,Sewing Machine Operator,Apparel,3,8th,tailoring; sewing; stitching; garment making,stitching; garment making,Sewing Machine Operator,Job/Self-employment,83.3
3,10th,35,Telangana,Driver,0,mechanics; vehicle repair; problem solving,automobile,Self-employment,Automotive Service Technician,Automotive,4,10th,automobile; mechanics; vehicle repair; tools,automobile; tools,Automotive Service Technician,Job,77.6
4,5th,42,Telangana,Small Business Owner,0,furniture; carpentry; woodwork; customer service,woodwork,Self-employment,Carpenter,Wood & Carpentry,3,8th,carpentry; woodwork; furniture; tools,tools,Carpenter,Job/Self-employment,93.0
5,5th,42,Karnataka,Driver,1,wiring; tools; electrical; repair; time management,electrical,Skill training,Assistant Electrician,Power,3,8th,electrical; wiring; repair; tools,advanced practice,Assistant Electrician,Job,94.2
6,UG,33,Bihar,Office Assistant,0,computer; typing; communication; customer service,office work,Skill training,Office Assistant,Office Administration & Facility Management,4,12th,computer; office work; typing; communication,office work,Office Assistant,Job,90.4
7,10th,43,West Bengal,Daily Wage Worker,1,hygiene; healthcare; first aid; patient care; time management,hygiene,Job,General Duty Assistant,Healthcare,3,10th,healthcare; patient care; hygiene; first aid,advanced practice,General Duty Assistant,Job,99.0
8,8th,33,Maharashtra,Small Business Owner,4,hygiene; food processing; packaging; cooking; teamwork,food processing,Self-employment,Food Processing Worker,Food Industry/Food Processing,3,8th,cooking; food processing; packaging; hygiene,advanced practice,Food Processing Worker,Job/Self-employment,99.0
9,5th,21,Telangana,Tailor,0,woodwork; furniture; problem solving,furniture,Self-employment,Carpenter,Wood & Carpentry,3,8th,carpentry; woodwork; furniture; tools,carpentry; tools,Carpenter,Job/Self-employment,84.5
10,5th,25,Tamil Nadu,Driver,4,logistics; packing; inventory; customer service,warehouse,Entrepreneurship,Warehouse Associate,"Transportation, Logistics & Warehousing",3,10th,warehouse; inventory; packing; logistics,warehouse,Warehouse Associate,Job,86.3
11,8th,50,West Bengal,Domestic Worker,0,communication; tourism; time management,communication,Entrepreneurship,Tourism & Hospitality Associate,Tourism & Hospitality,4,10th,hospitality; customer service; communication; tourism,hospitality; customer service,Hospitality Associate,Job,78.2
12,12th,19,Rajasthan,Retail Worker,0,waste management; safety; teamwork,waste management,Entrepreneurship,Waste Collection Worker,"Water Supply, Sewerage, Waste Management & Remediation activities",2,5th,waste management; cleaning; safety; sorting,cleaning; sorting,Waste Collection Worker,Job,77.3
13,Diploma,26,Rajasthan,Domestic Worker,0,communication; sales; time management,sales,Skill training,Retail Sales Associate,Retail,4,10th,sales; customer service; billing; communication,customer service; billing,Retail Sales Associate,Job,78.6
14,12th,41,West Bengal,Farm Worker,3,delivery; navigation; teamwork,driving,Skill training,Delivery Associate,"Transportation, Logistics & Warehousing",3,10th,driving; delivery; navigation; customer service,driving; customer service,Delivery Associate,Job/Self-employment,78.3
15,UG,21,Karnataka,Unemployed,1,sewing; stitching; tailoring; garment making; communication,sewing,Self-employment,Sewing Machine Operator,Apparel,3,8th,tailoring; sewing; stitching; garment making,advanced practice,Sewing Machine Operator,Job/Self-employment,97.4
16,12th,44,Maharashtra,Farm Worker,1,tools; automobile; vehicle repair; mechanics; basic computer,vehicle repair,Job,Automotive Service Technician,Automotive,4,10th,automobile; mechanics; vehicle repair; tools,advanced practice,Automotive Service Technician,Job,99.0
17,12th,39,Maharashtra,Daily Wage Worker,0,driving; navigation; customer service; communication,navigation,Self-employment,Delivery Associate,"Transportation, Logistics & Warehousing",3,10th,driving; delivery; navigation; customer service,delivery,Delivery Associate,Job/Self-employment,92.2
18,Diploma,24,Uttar Pradesh,Farm Worker,0,farm equipment; farming; crops; problem solving,farming,Job,Agriculture Field Technician,Agriculture,4,10th,farming; agriculture; crops; farm equipment,agriculture,Agriculture Field Technician,Job/Self-employment,90.5
19,12th,18,Bihar,Technician,2,design; handicraft; basic computer,art,Self-employment,Handicraft Artisan,Handicrafts & Carpets,3,8th,handicraft; art; craft; design,art; craft,Handicraft Artisan,Self-employment,84.5
20,5th,55,Uttar Pradesh,Driver,4,communication; computer; typing; office work; basic computer,computer,Job,Office Assistant,Office Administration & Facility Management,4,12th,computer; office work; typing; communication,advanced practice,Office Assistant,Job,97.3
21,Diploma,22,Andhra Pradesh,Small Business Owner,1,mobile repair; electronics; soldering; repair; communication,electronics,Self-employment,Mobile Phone Hardware Repair Technician,Electronics & HW,4,10th,electronics; mobile repair; soldering; repair,advanced practice,Mobile Repair Technician,Job/Self-employment,99.0
22,Diploma,51,Karnataka,Daily Wage Worker,2,haircare; customer service,customer service,Entrepreneurship,Beauty & Wellness Assistant,Beauty & Wellness,3,8th,beauty; hygiene; customer service; haircare,beauty; hygiene,Beauty & Wellness Assistant,Job,81.3
23,10th,22,Telangana,Small Business Owner,0,mechanics; vehicle repair; tools; problem solving,vehicle repair,Skill training,Automotive Service Technician,Automotive,4,10th,automobile; mechanics; vehicle repair; tools,automobile,Automotive Service Technician,Job,90.5
